中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
43.153.103.203,443,43.153.103.203,US,San Jose,中转,19 ms,1416 Mbps,181248 kB/s,181248.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,18 ms,1408 Mbps,180224 kB/s,180224.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,24 ms,1288 Mbps,164864 kB/s,164864.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,816 Mbps,104448 kB/s,104448.0
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,48 ms,596 Mbps,76390 kB/s,76390.0
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,37 ms,584 Mbps,74752 kB/s,74752.0
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,39 ms,569 Mbps,72908 kB/s,72908.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,35 ms,523 Mbps,66969 kB/s,66969.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,5 ms,471 Mbps,60313 kB/s,60313.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,57 ms,431 Mbps,55193 kB/s,55193.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,204 Mbps,26214 kB/s,26214.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,168 Mbps,21504 kB/s,21504.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,143 ms,138 Mbps,17715 kB/s,17715.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,150 ms,136 Mbps,17510 kB/s,17510.0
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,111 ms,48 Mbps,6168 kB/s,6168.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,133 ms,47 Mbps,6056 kB/s,6056.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,121 ms,47 Mbps,6034 kB/s,6034.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,121 ms,45 Mbps,5856 kB/s,5856.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,147 ms,44 Mbps,5735 kB/s,5735.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,150 ms,43 Mbps,5579 kB/s,5579.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,162 ms,42 Mbps,5388 kB/s,5388.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,53 ms,6 Mbps,877 kB/s,877.0
